"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HNRNPH3",7.76914251699598e-07,0.346019830497486,0.697,0.757,0.0261773487967663
"GHITM",7.96998763754421e-07,0.37834923941496,0.635,0.659,0.0268540763459415
"SPC25",8.83730018709878e-07,0.417252629201094,0.349,0.267,0.0297763992504106
"PDHB",9.10798124907434e-07,0.49626017504557,0.552,0.541,0.0306884320206311
"CAPZA2",9.24543319296061e-07,0.457901744016505,0.49,0.476,0.0311515626003615
"MID1IP1",9.38805192700354e-07,0.462039457278792,0.473,0.406,0.0316321021628457
"RRAS2",9.69836049839357e-07,0.507889279889514,0.456,0.42,0.0326776558632873
"CCNA2",9.74704491966153e-07,0.543185190813142,0.407,0.35,0.0328416931523076
"ATP5G1",9.86803329829601e-07,0.326482948365267,0.817,0.816,0.0332493513952786
"RUVBL2",1.1712875005262e-06,0.429042419312318,0.502,0.48,0.0394653610427297
"ARPC1A",1.23049654661788e-06,0.287837070273941,0.656,0.711,0.0414603506417427
"MRPS7",1.28717834143061e-06,0.386418606810244,0.631,0.671,0.043370187036163
"EIF4EBP1",1.31995633030113e-06,0.335016399992452,0.701,0.691,0.0444746085931664
"TAGLN",1.40121335152204e-06,0.66935054275857,0.498,0.441,0.0472124826661835
"RBPMS2",1.50615605028662e-06,0.421828938064417,0.465,0.414,0.0507484219583575
"CCNB2",2.02121485598674e-06,0.462476403852204,0.544,0.548,0.0681028133576172
"PPP4C",2.15341218434899e-06,0.360190049394658,0.635,0.689,0.0725570701394547
"VBP1",2.18925072095711e-06,0.41410499413812,0.544,0.555,0.073764613791929
"CBR1",2.52614475472468e-06,0.49579968068034,0.461,0.413,0.0851159213656935
"SOD1",2.64819423627139e-06,0.300047766458908,0.896,0.908,0.0892282565969283
"COPE",2.81608242567618e-06,0.29637002221186,0.768,0.833,0.0948850812507334
"COX7B",2.95564253734043e-06,0.29969932481252,0.863,0.895,0.0995874196531485
"DCTPP1",3.44398322821216e-06,0.375353086612721,0.593,0.601,0.116041570891381
"MAGOH",3.71529073386046e-06,0.404607558028572,0.618,0.648,0.125183005986694
"NDUFB2",3.72623688592122e-06,0.262984629743122,0.909,0.917,0.12555182563423
"ARL2",4.14536352157091e-06,0.323355983551301,0.855,0.881,0.13967387849581
"NUSAP1",4.39537988627138e-06,0.566220367213719,0.452,0.416,0.148097929888028
"IDH1",4.7309287870216e-06,0.462215113649408,0.473,0.454,0.159403914549906
"ANXA5",4.81081118201667e-06,0.410772151107894,0.432,0.385,0.16209547196687
"NDUFA11",5.00265483020834e-06,0.302022400846401,0.797,0.856,0.16855945184904
"CTPS1",5.17437120855872e-06,0.452594685561247,0.365,0.303,0.174345263501177
"PCBP1",5.90607645875436e-06,0.347418273595494,0.788,0.874,0.198999340201269
"RHEB",6.06149145808704e-06,0.355799289745401,0.701,0.781,0.204235893188785
"EIF3G",6.1656334532589e-06,0.295414678162698,0.734,0.797,0.207744853574106
"MRPL16",6.37071586782079e-06,0.500384425262561,0.444,0.407,0.214654900450354
"PSMD14",6.53592423784111e-06,0.429237758192581,0.494,0.499,0.220221431269819
"ID1",6.87636671341641e-06,0.30700472284956,0.734,0.733,0.231692300041852
"ACTL6A",7.48732053282392e-06,0.39744722333049,0.332,0.263,0.252277778032969
"POLR2F",7.7366748468616e-06,0.303006662038251,0.784,0.811,0.260679522290155
"RSL24D1",8.04120794510192e-06,0.316657156368962,0.718,0.767,0.270940460502264
"CISD1",8.20565420273736e-06,0.399695238341115,0.535,0.542,0.276481312707033
"MYL9",8.93230252159679e-06,0.433245149589388,0.606,0.612,0.300965001162682
"COPS6",9.37283820755331e-06,0.378617030530979,0.622,0.666,0.315808410565301
"SF3B6",1.01244979105681e-05,0.336834963994482,0.83,0.9,0.34113483259868
"ATP5H",1.1374585826173e-05,0.402128467903256,0.668,0.728,0.383255294827074
"SDHC",1.17244894842926e-05,0.343243878880153,0.66,0.73,0.395044948683755
"HDAC1",1.22642476418584e-05,0.417336613625028,0.39,0.34,0.413231560044775
"EIF2S1",1.2373357480685e-05,0.451983813562389,0.398,0.357,0.416907906954199
"PPM1G",1.23929292524069e-05,0.332214155705214,0.656,0.7,0.4175673582306
"DPY30",1.2654544235962e-05,0.363384524832444,0.714,0.775,0.426382213486503
"MRPL22",1.38907020223993e-05,0.367041116595851,0.627,0.657,0.468033313942721
"TXNDC17",1.47254880690332e-05,0.325366650933146,0.722,0.779,0.496160594998004
"IMPDH2",1.51054980750692e-05,0.309788310939645,0.797,0.873,0.508964652141382
"ZFAND6",1.62228254749756e-05,0.43215217184657,0.552,0.584,0.546611881553828
"MRPS34",1.67327853644444e-05,0.385050352301208,0.68,0.745,0.563794470069588
"EIF3M",1.79954159480383e-05,0.303796172655215,0.705,0.792,0.606337544953203
"MRPS9",2.06733929256746e-05,0.428927454915285,0.402,0.36,0.69656930123768
"SRI",2.08426101147983e-05,0.352581790428856,0.676,0.756,0.702270905208014
"MRPL42",2.10571957076301e-05,0.349574134875973,0.602,0.641,0.709501152172887
"PRPS1",2.22840589046775e-05,0.480115007973717,0.498,0.526,0.750839080734202
"PPIH",2.22856594162964e-05,0.461612371955811,0.485,0.497,0.750893008372692
"SMARCB1",2.32942597950063e-05,0.320590423502761,0.635,0.67,0.784876789532942
"MRPL18",2.49766672594146e-05,0.395772383840815,0.556,0.589,0.841563826638717
"MRPL27",2.73598780249288e-05,0.36729802354974,0.614,0.67,0.921863730171952
"TPM2",3.00442454476409e-05,0.329098934243094,0.701,0.761,1
"MRPL12",3.10104488776048e-05,0.340057329483163,0.631,0.675,1
"EWSR1",3.22289338005651e-05,0.345606904531325,0.598,0.642,1
"ATP6V1G1",3.28043345537948e-05,0.289890486228418,0.871,0.919,1
"RPA3",3.55533266671829e-05,0.316188810122606,0.672,0.73,1
"PSMC6",3.94713824194929e-05,0.459268463599001,0.436,0.42,1
"USMG5",4.10864139637799e-05,0.272245388682073,0.863,0.903,1
"IFITM3",4.12376725283675e-05,0.424750148545189,0.788,0.841,1
"REXO2",4.34541364299243e-05,0.405872425342211,0.465,0.452,1
"SNRPB2",4.50030698647529e-05,0.320551316036408,0.647,0.724,1
"TIMM23",5.00584300224916e-05,0.437262034663056,0.361,0.317,1
"TIMM13",5.4175737151774e-05,0.258316232768431,0.921,0.931,1
"SRP9",6.00688057068359e-05,0.263209962092632,0.851,0.911,1
"AURKB",6.53158174515025e-05,0.44005045163555,0.448,0.427,1
"MYL12B",7.14525656478272e-05,0.349764275301234,0.627,0.697,1
"AKR1B1",7.15206285141138e-05,0.381907182459503,0.589,0.641,1
"TXNL1",7.67861396989108e-05,0.31083948642952,0.602,0.615,1
"HDAC2",7.96477059272799e-05,0.350410991633907,0.647,0.716,1
"SF3A3",8.09433281966015e-05,0.40906809804156,0.411,0.391,1
"TYMS",8.59947141098259e-05,0.410693143920184,0.49,0.482,1
"TUBB2A",8.69597427165113e-05,0.516430856067364,0.353,0.298,1
"EXOSC8",9.16157496624267e-05,0.408746607577302,0.515,0.531,1
"TBRG4",0.000103613759898901,0.391104637216872,0.344,0.295,1
"POLR2H",0.000108752958120966,0.381096053793839,0.577,0.635,1
"GORASP2",0.000109451391148006,0.346695514654344,0.378,0.335,1
"DBI",0.000118000975337081,0.252584935298098,0.838,0.852,1
"GTF3C6",0.000124085459556701,0.330048962074262,0.73,0.791,1
"ECH1",0.000126039036246237,0.301923900834703,0.639,0.716,1
"NDUFS3",0.000139576821163321,0.376572617107402,0.577,0.638,1
"HSD17B4",0.000142469922147186,0.461151338204056,0.332,0.286,1
"EEF1E1",0.000144852568943612,0.435007526894812,0.535,0.578,1
"BAX",0.000150332417426449,0.368192646544451,0.647,0.71,1
"ID3",0.000151522953907183,0.294919738750233,0.822,0.814,1
"PGD",0.000152687534392182,0.373072074245849,0.564,0.628,1
"SCGB3A2",0.00015387363981516,0.383640436472004,0.494,0.426,1
"HNRNPA3",0.000161995310514725,0.315913674516418,0.788,0.85,1
"CHEK2",0.000168116510073305,0.412054078844567,0.257,0.2,1
"OLA1",0.000170664053642842,0.328287553161621,0.614,0.69,1
"GRPEL1",0.000174178837562399,0.391110585882309,0.336,0.289,1
"UBE2V2",0.000181608958139334,0.301628259402609,0.627,0.694,1
"GGCT",0.000187495336219504,0.285510700186819,0.66,0.724,1
"S100A10",0.000191021938702045,0.332226347736752,0.373,0.317,1
"DCUN1D5",0.000192229452049786,0.437239490666946,0.481,0.501,1
"AP1M2",0.000194649462104972,0.431595153456452,0.303,0.253,1
"ANP32A",0.00019550491930113,0.314057305914992,0.568,0.618,1
"PSMC2",0.000200498014337766,0.418756101673204,0.402,0.372,1
"PEPD",0.000208685877373026,0.386672183146913,0.373,0.338,1
"ACAA2",0.000227797311050773,0.347590603382051,0.577,0.637,1
"ACOT7",0.0002303936100646,0.402056702073319,0.423,0.413,1
"AKR1A1",0.000251966655594074,0.267212589808713,0.689,0.78,1
"TOMM40",0.000267002936904482,0.430765237759581,0.56,0.627,1
"DPP3",0.000267476956599979,0.341859465239353,0.27,0.212,1
"FEN1",0.000273367506778331,0.466985892998553,0.357,0.325,1
"YWHAB",0.00031944760168934,0.297095509932438,0.726,0.803,1
"TPD52",0.000349949533027932,0.45092105641812,0.361,0.33,1
"CHCHD3",0.000383996333391593,0.294457842899585,0.56,0.608,1
"WDR61",0.000432496933945343,0.419153708043398,0.357,0.333,1
"CAP1",0.000438061637300123,0.347055368885535,0.544,0.6,1
"IMP3",0.000458477996133746,0.441901975355379,0.535,0.581,1
"DMKN",0.000471973912525654,0.300609344253691,0.656,0.687,1
"PPP2R2B",0.000481915838336486,0.384630714507558,0.39,0.376,1
"BRIX1",0.000513547441895236,0.434604978288745,0.394,0.384,1
"ZC3H15",0.000548628687453066,0.38942974531883,0.577,0.623,1
"C14orf119",0.000565008427073632,0.355976782433032,0.498,0.53,1
"HAT1",0.000620803915662094,0.35192314088531,0.315,0.272,1
"VPS25",0.000636552340459949,0.306666133749052,0.502,0.541,1
"ARF4",0.000640114858805527,0.279600604465014,0.51,0.534,1
"NDUFA12",0.000665952684792911,0.273098148033054,0.734,0.815,1
"CYB5B",0.000674202193317353,0.406447072986322,0.407,0.399,1
"ACP1",0.000700441097066505,0.284463770066003,0.71,0.783,1
"STIP1",0.000723214244633058,0.359166744306784,0.477,0.519,1
"RAE1",0.000740367465711461,0.380367206146821,0.307,0.265,1
"PDCL3",0.000742926419288282,0.353269733760525,0.257,0.206,1
"MCM7",0.00074554339506111,0.410829587017543,0.461,0.488,1
"CENPW",0.000822769912648546,0.316289473562333,0.618,0.65,1
"TUBG1",0.000853359986179515,0.41485204796787,0.415,0.425,1
"POP7",0.00086929805556958,0.281069760141123,0.627,0.66,1
"PSMD13",0.000900544090007731,0.346243321871257,0.419,0.41,1
"CENPN",0.000918598847583913,0.355676041603274,0.523,0.559,1
"PNO1",0.000961665333938239,0.384247965260163,0.266,0.224,1
"MTX1",0.00104253489232818,0.348109832808509,0.419,0.422,1
"BNIP3",0.00116513865818595,0.29899901125966,0.726,0.753,1
"CENPH",0.00116785309545149,0.35725997241471,0.56,0.628,1
"DDX5",0.0011801431698908,0.276351400567304,0.726,0.825,1
"SEPT7",0.00122370064407829,0.294397177158041,0.568,0.627,1
"SPAG7",0.00123540021974917,0.254291259154488,0.672,0.781,1
"MRPL19",0.00124523729563412,0.332718337733063,0.336,0.313,1
"LMNB1",0.00130080762704076,0.334650029222967,0.295,0.251,1
"IDH3B",0.00154189682695216,0.326703252496484,0.423,0.435,1
"THYN1",0.00157689132965177,0.310934285372027,0.598,0.678,1
"WDR18",0.00164975790382467,0.364676642002005,0.444,0.479,1
"SF3B4",0.00173448591574662,0.374200458924188,0.394,0.393,1
"NOP58",0.00173536697626241,0.358571798947755,0.361,0.335,1
"FAM162A",0.00178758725167304,0.288113556624084,0.701,0.754,1
"NDUFA1",0.00184365722633823,0.258684602143686,0.747,0.834,1
"PDCD5",0.00192647739681075,0.257963309490431,0.672,0.766,1
"KIF22",0.00200446446746732,0.414879199663862,0.394,0.398,1
"UQCRC1",0.00215058474360991,0.298046882305023,0.577,0.652,1
"RTCB",0.00220439405414595,0.363339521823598,0.461,0.487,1
"TCEAL4",0.00232650339955363,0.257060604610407,0.685,0.782,1
"MRPL21",0.00233782886692323,0.314968788887775,0.527,0.591,1
"COPS8",0.00236518767734915,0.310074607815869,0.49,0.535,1
"GLOD4",0.00237191310619274,0.297676967763576,0.44,0.445,1
"RAB5C",0.00237214340626028,0.343991974424778,0.523,0.581,1
"EIF4G2",0.00241468230197971,0.321774049564495,0.685,0.811,1
"ATIC",0.00265672121714219,0.38316700701159,0.444,0.469,1
"TRIP6",0.00267494322768434,0.367174652223005,0.448,0.471,1
"SDCBP",0.00277002048096542,0.333563303699864,0.448,0.452,1
"GMNN",0.002791331621406,0.378760130445107,0.427,0.45,1
"GOT1",0.00283389348607043,0.337669142273403,0.274,0.238,1
"MTHFD1",0.00283627063080885,0.323754119639859,0.27,0.233,1
"ANXA7",0.00289148334649445,0.359777148277851,0.336,0.32,1
"RP11-20D14.6",0.00300825993854991,0.310132126146244,0.274,0.233,1
"PSMD3",0.00302626280430642,0.390223551268733,0.436,0.465,1
"BZW1",0.00303045278911197,0.347425025975442,0.469,0.519,1
"RAB1A",0.00304686271526334,0.378976487483151,0.523,0.599,1
"MRPL50",0.00305821971888354,0.316104510545386,0.481,0.521,1
"SNX2",0.00343780368846261,0.349388157590777,0.398,0.402,1
"NUDT5",0.00345072059346781,0.341713955871122,0.539,0.608,1
"NASP",0.00359653665476383,0.265156160517088,0.701,0.754,1
"DKC1",0.00376232893035618,0.408407430331921,0.411,0.428,1
"NMRK2",0.00385047325768613,0.38096039125721,0.398,0.371,1
"CYB5A",0.00386482093034314,0.368500062278896,0.531,0.558,1
"C21orf59",0.00401802696232598,0.333828049180896,0.411,0.408,1
"HNRNPH2",0.00437529467722913,0.34275863921404,0.336,0.321,1
"RNF181",0.00440153584605439,0.313146645280727,0.61,0.721,1
"AHCY",0.00442544994839377,0.300257080684412,0.573,0.656,1
"ADSL",0.00453826693099048,0.315029531456994,0.44,0.465,1
"MRPS2",0.00455003147525976,0.38183079198146,0.432,0.464,1
"NIFK",0.00468807971025981,0.382458347473446,0.39,0.404,1
"TAGLN2",0.00484584008761519,0.379162941735119,0.369,0.352,1
"ZCCHC17",0.00486889679304174,0.321680585119903,0.498,0.56,1
"PSMB4",0.00499811981807724,0.280845301446746,0.577,0.657,1
"SUGT1",0.00528327022254313,0.348438969643567,0.427,0.457,1
"PRPF31",0.00618720142576853,0.333765074864243,0.436,0.476,1
"MMADHC",0.00636398304374494,0.33441989352596,0.465,0.509,1
"CITED2",0.00640487064965699,0.359057309911646,0.436,0.446,1
"TFG",0.00678544122971,0.369221040010887,0.402,0.425,1
"SLC25A4",0.00682938922562859,0.366848677786576,0.444,0.477,1
"MRPL9",0.00683514180605704,0.254860928039551,0.49,0.551,1
"RAB7A",0.00704720139885484,0.372752172887536,0.506,0.579,1
"ARMT1",0.00718529765533256,0.388963984489405,0.278,0.247,1
"CDC37",0.00721591946621673,0.289908124379566,0.519,0.59,1
"MIS18A",0.0072260363600716,0.303164194505056,0.448,0.477,1
"PSMG2",0.00738611196557272,0.364769016775206,0.44,0.486,1
"HAUS1",0.0074098291416297,0.372130165738667,0.494,0.547,1
"NOSIP",0.00755327886451963,0.254121283053679,0.573,0.686,1
"SEC13",0.00774774520020315,0.364181886912126,0.415,0.443,1
"ZWINT",0.00805087383643936,0.317070399525644,0.407,0.414,1
"DRG1",0.00805653934067737,0.343584648403181,0.386,0.403,1
"GNAI3",0.00809990385554578,0.327638904041187,0.386,0.392,1
"ECHS1",0.00839787201304158,0.302068367305743,0.527,0.614,1
"VRK1",0.00849456942263225,0.29868091347688,0.299,0.276,1
"MRPL44",0.00852595595346215,0.314771052639263,0.311,0.295,1
"UTP11L",0.00916335584066518,0.364423413588798,0.344,0.347,1
"BOLA3",0.0096423772037161,0.336209782726957,0.477,0.534,1
"ATP6V1E1",0.0096555515837234,0.312087897445058,0.402,0.41,1
"EXOSC7",0.0100802825733138,0.321420190926523,0.481,0.547,1
"RUVBL1",0.0101508779175695,0.349726715727423,0.328,0.318,1
"RRM2",0.0106229308083886,0.367754777626005,0.282,0.26,1
"AK2",0.0108934788213707,0.370296353465843,0.398,0.421,1
"ASH2L",0.0109512054654981,0.311145478724236,0.278,0.251,1
"TK1",0.0110725756318542,0.336309517065452,0.32,0.305,1
"NDUFA5",0.0113765353705191,0.257561311866561,0.568,0.659,1
"NAP1L4",0.0115116476628944,0.280659165407196,0.461,0.503,1
"ISOC2",0.0118699347522596,0.296501860572359,0.485,0.518,1
"CDCA4",0.0125319344235927,0.360207072709157,0.361,0.372,1
"CLNS1A",0.0128540143733899,0.263156410996112,0.614,0.742,1
"EMG1",0.0131014990878518,0.349801719514559,0.386,0.4,1
"TRAP1",0.0131960152328937,0.329240748446968,0.411,0.442,1
"MRPL45",0.0132731991826459,0.32475907470229,0.411,0.427,1
"GPN1",0.0137739397141934,0.310641577008501,0.274,0.253,1
"YARS",0.0137883383623447,0.337637765789347,0.32,0.309,1
"ELAVL1",0.0140994602164043,0.286005187428342,0.556,0.652,1
"MRPL28",0.0143237920380514,0.311472418655546,0.49,0.558,1
"SUPT4H1",0.0145291573274774,0.260396098647109,0.656,0.761,1
"FDPS",0.0145921023635104,0.366969934074159,0.548,0.64,1
"GART",0.0149132948482745,0.314992785692771,0.274,0.251,1
"ATXN10",0.0151660556376697,0.352967671008197,0.419,0.458,1
"QDPR",0.0161258601361115,0.300773272430301,0.357,0.362,1
"GNPDA1",0.0161422689437899,0.291386493674028,0.456,0.491,1
"ERI3",0.0167466162922532,0.300933915834009,0.469,0.544,1
"POLR2C",0.0177819295088264,0.349127639450235,0.461,0.519,1
"COA4",0.0190371937832423,0.251339361471066,0.564,0.636,1
"BLVRB",0.0195215474424805,0.296464308628497,0.469,0.512,1
"NANS",0.0195996392555784,0.408818261625755,0.344,0.35,1
"MTHFD1L",0.0205512632920481,0.305754368358982,0.278,0.261,1
"NSMCE4A",0.0212498059167382,0.283115435129134,0.415,0.446,1
"ALDH7A1",0.0214830412768238,0.312182937587214,0.427,0.45,1
"DNAJC7",0.0225825951609601,0.307321155437249,0.461,0.512,1
"CDCA3",0.0231518288564396,0.304661036449142,0.253,0.228,1
"DDX1",0.0242504505601663,0.32918542959817,0.398,0.428,1
"COPZ1",0.0249592311614724,0.267824500693818,0.515,0.606,1
"MAEA",0.0252248989258573,0.297896101836507,0.307,0.303,1
"MRPS12",0.0258087726850164,0.289565403821587,0.523,0.59,1
"RBM42",0.0259458828735879,0.28677759775877,0.39,0.422,1
"TTC1",0.0266882764594606,0.361654852639126,0.382,0.407,1
"PLIN2",0.026922069330424,0.337032696870707,0.498,0.567,1
"KARS",0.0269472488022383,0.296624070688912,0.477,0.558,1
"GID8",0.0288936856095563,0.266202597716436,0.386,0.41,1
"VPS29",0.0294519610656873,0.331930460503078,0.432,0.497,1
"ACTR3",0.0303540990414101,0.355900928631542,0.382,0.413,1
"RAB8A",0.0307460465860488,0.343169882900266,0.315,0.322,1
"MOB4",0.0364834145964326,0.301297382070684,0.336,0.349,1
"RPA2",0.036843964868554,0.301136299193782,0.39,0.42,1
"FIBP",0.0368791708808052,0.251497783314712,0.568,0.672,1
"NOP16",0.0375625523064646,0.384524614031414,0.357,0.382,1
"NDUFA10",0.0386005171998728,0.346717412327834,0.386,0.427,1
"PYCR1",0.0395697080859546,0.293212779782069,0.382,0.41,1
"SHMT2",0.0432486268970551,0.333149156604229,0.353,0.378,1
"G3BP1",0.0444322391204918,0.261906145127547,0.456,0.522,1
"ACOT13",0.0451660754558518,0.340098155389776,0.386,0.422,1
"BLOC1S2",0.0468366270584123,0.271645512316922,0.427,0.479,1
"WDR74",0.0478850659974332,0.31712681379294,0.353,0.377,1
"SRP19",0.0488024890247194,0.31243867641815,0.419,0.475,1
"AARS",0.0490431175652129,0.289102764105456,0.27,0.261,1
"NDUFB6",0.0491650561538985,0.280188698017857,0.51,0.604,1
"DLD",0.0496878547598562,0.30154620831145,0.286,0.286,1
"PPID",0.0511326202689823,0.322941710711441,0.307,0.316,1
"RPP30",0.0511570622701612,0.309849105828075,0.357,0.381,1
"SYAP1",0.0513485683977991,0.286382143209788,0.448,0.516,1
"RBM14",0.0519469529977414,0.321199972501342,0.32,0.331,1
"ASNA1",0.0528989317826333,0.250726940170382,0.502,0.574,1
"HSPA4",0.0552205638945765,0.290214381667733,0.332,0.344,1
"SARS",0.056218834493734,0.325259897009646,0.432,0.481,1
"UNG",0.0571974698402638,0.347329262115577,0.307,0.317,1
"SSSCA1",0.0593141284945046,0.30353663001438,0.32,0.341,1
"GTF2F2",0.0599603094552524,0.321587199342671,0.369,0.406,1
"SDHB",0.0610754636688345,0.295955934172939,0.336,0.357,1
"GTPBP4",0.0621657052225386,0.3058433978768,0.32,0.329,1
"BOP1",0.0625948619761879,0.267010767492065,0.257,0.248,1
"ILK",0.0627807597900325,0.293432823118536,0.398,0.451,1
"METAP2",0.0646864067809911,0.25134248256183,0.56,0.67,1
"ETFA",0.0653490544804375,0.253014083291116,0.423,0.466,1
"PPP1R8",0.0665448745546205,0.326197099032286,0.274,0.272,1
"PSME1",0.0689129452435411,0.301465206679129,0.39,0.432,1
"ADI1",0.0693804620487508,0.31170103006611,0.411,0.46,1
"EIF4E2",0.0722578120661468,0.275430691767478,0.519,0.63,1
"C1orf123",0.0723695212920206,0.300952968164087,0.415,0.489,1
"EXOSC3",0.072999609697555,0.267117674688157,0.344,0.372,1
"PMAIP1",0.0730634374274517,0.279695444481255,0.295,0.277,1
"GNL2",0.0736429917750347,0.298980345162441,0.274,0.272,1
"NOLC1",0.08141267788482,0.342782402101775,0.336,0.362,1
"RAB2A",0.082189651892198,0.282737759759851,0.452,0.529,1
"TBC1D7",0.0826258587528979,0.31488773933776,0.324,0.345,1
"PGM1",0.0845001075089574,0.348408670184687,0.266,0.264,1
"NDUFAF4",0.0851912659330976,0.256772992919361,0.378,0.417,1
"DNAJA2",0.0865081341335545,0.327340790445205,0.286,0.295,1
"CECR5",0.0881077417354553,0.313418896144877,0.394,0.449,1
"SRP68",0.0904982336709957,0.267156906258917,0.261,0.261,1
"MRS2",0.0930286491955397,0.292636531999948,0.253,0.249,1
"UFD1L",0.0982414604594015,0.302021092487999,0.34,0.369,1
"NAMPT",0.107232613013032,0.290766445382954,0.282,0.29,1
"ATG3",0.10917510356511,0.291278559635591,0.349,0.384,1
"PSME3",0.113960295297109,0.26679122656333,0.324,0.349,1
"CTNNBL1",0.119789659923726,0.278663652514661,0.286,0.291,1
"PPP2R2A",0.120706937663244,0.25460157383025,0.315,0.338,1
"DPM1",0.122701644579416,0.275893101682204,0.311,0.327,1
"RAB13",0.131348994836266,0.310645225303438,0.548,0.669,1
"UBE2A",0.132369346019819,0.29227334491329,0.328,0.365,1
"ITPA",0.134942321333459,0.327617474290354,0.344,0.389,1
"DLGAP5",0.135162861728864,0.281597756539736,0.261,0.263,1
"CDC42",0.139166966262672,0.265645951753019,0.598,0.719,1
"PSMG1",0.14090965777851,0.282642862017633,0.307,0.339,1
"EIF3J",0.141044463898085,0.277686491397258,0.452,0.539,1
"ATPAF1",0.146569950951222,0.265623290139375,0.332,0.367,1
"TGIF1",0.149784579716802,0.257937593450765,0.465,0.55,1
"MED4",0.159281911140036,0.278355881913384,0.402,0.476,1
"PPIL1",0.161276483203794,0.302404624440093,0.332,0.372,1
"NAA50",0.163819034267334,0.283286271873875,0.411,0.481,1
"RFC2",0.169218492001345,0.257262847069949,0.324,0.351,1
"CPSF3",0.172268906404721,0.280501768035367,0.249,0.257,1
"PYM1",0.177443254138527,0.295314456103711,0.423,0.51,1
"ZFYVE21",0.181528491966914,0.277591610588842,0.357,0.406,1
"COPS5",0.184998113139341,0.257948095359791,0.369,0.415,1
"DIAPH2",0.18529902687861,0.293919100058371,0.32,0.331,1
"TSN",0.187385138924003,0.252067811226995,0.34,0.387,1
"VPS26A",0.189166791433329,0.25903495842666,0.257,0.265,1
"RAB10",0.190081790399928,0.275041268898459,0.382,0.454,1
"POLR2G",0.190390747415853,0.287837453030861,0.51,0.636,1
"RARS",0.194927866609727,0.258977459957144,0.282,0.301,1
"SLC25A11",0.194969664605017,0.289615832673239,0.382,0.443,1
"UBE2D1",0.199824245502188,0.324319131715587,0.328,0.374,1
"BCCIP",0.200049363541504,0.252068113845211,0.29,0.315,1
"MRPL4",0.200963309599495,0.300509837816278,0.448,0.518,1
"DNPEP",0.203206333035188,0.253081054550349,0.332,0.37,1
"HESX1",0.204842613270652,0.288774493195245,0.261,0.267,1
"PDCD10",0.214787625958113,0.281458675399319,0.299,0.326,1
"GMPS",0.218390447655486,0.280322600673174,0.32,0.355,1
"MRPS23",0.223006073153278,0.274098158473679,0.427,0.518,1
"NDUFA9",0.231341657493387,0.270716915935618,0.336,0.377,1
"UTP18",0.231866058777933,0.280086317197712,0.278,0.301,1
"IDI1",0.232142359986956,0.303637265101871,0.295,0.325,1
"APOO",0.243701433449315,0.263437176424871,0.369,0.429,1
"CDKN2AIPNL",0.254145924086343,0.305439874869789,0.365,0.429,1
"TSFM",0.256138384743569,0.25109793495637,0.253,0.267,1
"CINP",0.261387595792461,0.281007287762781,0.266,0.288,1
"MED21",0.265387101689355,0.274823038807967,0.245,0.259,1
"COMMD10",0.276016430747716,0.309048289298728,0.29,0.324,1
"ECI2",0.278663370214365,0.277561810212483,0.34,0.39,1
"HSPBP1",0.280111270073581,0.26439640376701,0.311,0.351,1
"NTHL1",0.285826005027805,0.274113728721921,0.415,0.503,1
"CSNK2A1",0.293799696335781,0.26576121514497,0.365,0.43,1
"RPF2",0.297395154272853,0.29837823890509,0.303,0.342,1
"PPP6C",0.298411060434934,0.25126843162208,0.241,0.259,1
"ACBD6",0.300145569690104,0.27958470426518,0.39,0.468,1
"NUDT21",0.310983012074101,0.260515478024774,0.419,0.504,1
"VPS72",0.314060346099439,0.252566462549247,0.344,0.404,1
"WDR77",0.320764204709964,0.288885482166451,0.303,0.339,1
"GINS2",0.329738911783536,0.267754720195853,0.469,0.56,1
"CSE1L",0.334390214784471,0.321920110024035,0.332,0.383,1
"DCPS",0.335468878170787,0.282715324907528,0.249,0.272,1
"SNW1",0.335820709468828,0.327606163575826,0.402,0.495,1
"MRPS35",0.339406811532397,0.25508491501207,0.311,0.355,1
"GPN3",0.380966012137413,0.252302004882272,0.245,0.267,1
"RFC4",0.396926909450348,0.274830328466495,0.324,0.374,1
"PSMD12",0.399128381476161,0.257568265082178,0.253,0.274,1
"PPP1R7",0.413009938490398,0.276632455856545,0.328,0.389,1
"CIAPIN1",0.413372107005314,0.279797896051638,0.357,0.43,1
"CDT1",0.435414097270886,0.278050268993703,0.452,0.557,1
"ENOPH1",0.473976936739757,0.276461227423169,0.311,0.359,1
"TARS",0.49592384050726,0.260910134836157,0.286,0.327,1
"SAMM50",0.499231006729212,0.278781729547474,0.332,0.392,1
"MT1G",0.54424968474575,0.514572082242224,0.278,0.294,1
"TMA16",0.566827138350001,0.279463422309168,0.303,0.366,1
"UROD",0.5749295769662,0.271852411330133,0.303,0.362,1
"ASF1A",0.613254574554422,0.257034449587919,0.266,0.309,1
"CHMP5",0.62040166581661,0.308438599303876,0.361,0.447,1
"C12orf45",0.783297794514479,0.251522226674461,0.34,0.422,1
"LYAR",0.796085526406415,0.265022064920493,0.315,0.39,1
