"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EIF5A",1.38915849841883e-47,0.340048320574425,0.989,0.911,4.68063064457242e-43
"DYNLL1",2.16089433383758e-47,0.375098085119153,0.996,0.958,7.28091736843233e-43
"RBPMS",3.19057699039494e-47,0.394452312135698,0.818,0.575,1.07503301114367e-42
"BASP1",1.37512994927293e-46,0.457517250612741,0.876,0.682,4.6333628510802e-42
"PFN1",1.75136773536623e-46,0.274632262508167,0.999,0.995,5.90105844754297e-42
"UQCC2",1.13249902870247e-45,0.359333590737016,0.963,0.885,3.8158422273101e-41
"CKS1B",1.17293900523753e-45,0.37057597478105,0.982,0.874,3.95210068424733e-41
"PRELID1",2.18725426281474e-45,0.333982062369159,0.985,0.909,7.369734513128e-41
"PRDX4",2.31174520711689e-45,0.398453840757519,0.957,0.82,7.78919430085964e-41
"YBX1",2.62610136896117e-45,0.260536290727374,1,0.997,8.84838595257777e-41
"RHOU",4.14062716755985e-45,0.271695447100391,0.422,0.195,1.39514291783762e-40
"NDUFB10",5.24409692620536e-45,0.35371086420858,0.962,0.865,1.76694601831563e-40
"TPI1",6.00807044386087e-45,0.297929851606838,0.999,0.992,2.02435925535448e-40
"BCAT1",1.98235937502741e-44,0.345871678599795,0.662,0.395,6.67936167821734e-40
"BST2",7.60247365186135e-44,0.354048068338278,0.987,0.917,2.56157747225816e-39
"KCNQ2",8.35843793706595e-43,0.292438195243084,0.454,0.232,2.816292078515e-38
"SRSF2",1.85564280404429e-40,0.361719489965805,0.953,0.824,6.25240286394684e-36
"SNRPF",2.21502559524477e-40,0.298653754687264,0.994,0.957,7.46330724061774e-36
"NUDT1",6.83757174898135e-40,0.34546269915302,0.792,0.552,2.30385142510177e-35
"SEPW1",1.23157969141277e-38,0.327301164834377,0.962,0.857,4.1496846122462e-34
"NDUFS6",2.60803513243013e-38,0.322437799294186,0.968,0.911,8.78751357521007e-34
"TPM1",9.29452270789178e-38,0.345234944026216,0.959,0.875,3.13169648119706e-33
"TIMM13",9.96126842832104e-38,0.279772227170652,0.996,0.922,3.35634978423849e-33
"SNRPB",1.21525069378413e-37,0.314006894381039,0.978,0.92,4.09466568763626e-33
"AUTS2",1.63642115067433e-37,0.262941889492857,0.47,0.261,5.51375742508208e-33
"PPP1R14B",7.27324826981101e-37,0.339701324043513,0.892,0.683,2.45064827203012e-32
"RBX1",7.32992099877924e-37,0.290985384091597,0.986,0.931,2.46974358132868e-32
"ASPH",7.36095161656894e-37,0.254834677487986,0.415,0.21,2.48019903768674e-32
"GNAS",7.49447709602636e-37,0.309759819385693,0.967,0.868,2.52518911273512e-32
"TNNI3",1.74498493578377e-36,0.30463641788512,0.608,0.371,5.87955224262983e-32
